lu_code,lu_desc,nhm_cov_type,srain_intcp,wrain_intcp,snow_intcp,nhm_covden_win,evergreen_retention
1,Temperate_Subpolar_Needleleaf_Forest,3,0.05,0.05,0.05,0.0,1.0
2,Subpolar_Taiga_Needleleaf_Forest,3,0.04,0.04,0.04,0.0,1.0
3,Tropical_Subtropical_Broadleaf_Evergreen_Forest,3,0.05,0.05,0.05,0.0,1.0
4,Tropical_Subtropical_Broadleaf_Deciduous_Forest,3,0.05,0.02,0.05,0.5,0.0
5,Temperate_Subpolar_Broadleaf_Deciduous_Forest,3,0.05,0.02,0.05,0.5,0.0
6,Mixed_Forest,3,0.05,0.035,0.05,0.25,0.5
7,Tropical_Subtropical_Shrubland,2,0.03,0.03,0.03,0.2,0.3
8,Temperate_Subpolar_Shrubland,2,0.03,0.03,0.03,0.3,0.3
9,Tropical_Subtropical_Grassland,1,0.02,0.02,0.02,0.0,0.0
10,Temperate_Subpolar_Grassland,1,0.02,0.02,0.02,0.0,0.0
11,Subpolar_Polar_Shrubland_Lichen_Moss,2,0.02,0.02,0.02,0.3,0.3
12,Subpolar_Polar_Grassland_Lichen_Moss,1,0.01,0.01,0.01,0.0,0.0
13,Subpolar_Polar_Barren_Lichen_Moss,0,0.0,0.0,0.0,0.0,0.0
14,Wetland,1,0.03,0.03,0.03,0.2,0.2
15,Cropland,1,0.02,0.02,0.02,0.0,0.0
16,Barren_Land,0,0.0,0.0,0.0,0.0,0.0
17,Urban_Built_Up,0,0.01,0.01,0.01,0.0,0.0
18,Water,0,0.0,0.0,0.0,0.0,0.0
19,Snow_Ice,0,0.0,0.0,0.0,0.0,0.0
