lu_code,lu_desc,nhm_cov_type,srain_intcp,wrain_intcp,snow_intcp,nhm_covden_win,evergreen_retention
11,Open_Water,0,0.0,0.0,0.0,0.0,0.0
12,Perennial_Ice_Snow,0,0.0,0.0,0.0,0.0,0.0
21,Developed_Open_Space,0,0.01,0.01,0.01,0.0,0.0
22,Developed_Low_Intensity,0,0.02,0.02,0.02,0.0,0.0
23,Developed_Medium_Intensity,0,0.01,0.01,0.01,0.0,0.0
24,Developed_High_Intensity,0,0.0,0.0,0.0,0.0,0.0
31,Barren_Land,0,0.0,0.0,0.0,0.0,0.0
41,Deciduous_Forest,3,0.05,0.02,0.05,0.5,0.0
42,Evergreen_Forest,3,0.05,0.05,0.05,0.0,1.0
43,Mixed_Forest,3,0.05,0.035,0.05,0.25,0.5
51,Dwarf_Scrub,2,0.02,0.02,0.02,0.3,0.3
52,Shrub_Scrub,2,0.03,0.03,0.03,0.3,0.3
71,Grassland_Herbaceous,1,0.02,0.02,0.02,0.0,0.0
72,Sedge_Herbaceous,1,0.02,0.02,0.02,0.0,0.0
73,Lichens,1,0.01,0.01,0.01,0.0,0.0
74,Moss,1,0.01,0.01,0.01,0.0,0.0
81,Pasture_Hay,1,0.02,0.02,0.02,0.0,0.0
82,Cultivated_Crops,1,0.02,0.02,0.02,0.0,0.0
90,Woody_Wetlands,3,0.04,0.02,0.04,0.4,0.3
95,Emergent_Herbaceous_Wetlands,1,0.03,0.03,0.03,0.0,0.0
