# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
14438704,SwampMarsh,465494.96238187246,0.14119294059480433,False,465195,1m
14439062,SwampMarsh,619947.783386679,0.10703832563536482,False,619644,1m
14292775,SwampMarsh,356021.070078513,0.1283147702611356,False,351350,1m
14425914,SwampMarsh,89473.1904530386,0.015648038518591218,False,89471,1m
14293149,SwampMarsh,203778.10894735288,0.0,False,203574,1m
14439646,SwampMarsh,323705.32733468025,0.4470214828656391,True,323502,1m
14747028,SwampMarsh,575477.4359852946,0.02160244459056032,False,576312,1m
14678072,SwampMarsh,241302.5767159629,0.09041645179715177,False,241062,1m
14292851,SwampMarsh,1996902.1558642304,0.3127779029964977,False,2018690,1m
14677900,SwampMarsh,154231.91443562522,0.0,False,155266,1m
14678978,SwampMarsh,319687.95994096587,6.784295822413637e-08,False,319377,1m
14292933,SwampMarsh,727697.5343129263,0.0,True,718649,1m
21542748,SwampMarsh,386429.26467992517,0.41262679171535693,False,385943,1m
14432179,SwampMarsh,692356.1142544263,0.015103939614034086,False,691894,1m
14826663,SwampMarsh,252716.6057977429,0.3655548189348316,False,252561,1m
14679124,SwampMarsh,678600.3403100421,0.0,True,677959,1m
14438718,SwampMarsh,113081.51777592346,0.486622179511012,False,112968,1m
14677918,SwampMarsh,265771.5472616766,1.999873082262764e-05,False,265474,1m
21542730,SwampMarsh,486713.9404860463,0.5006553248883951,False,486090,1m
14747020,SwampMarsh,702766.091702433,2.684216156775491e-06,False,700654,1m
14293147,SwampMarsh,1220607.1963733612,0.0,True,1205901,1m
14680598,SwampMarsh,372871.47581408964,0.0,True,370366,1m
14293511,SwampMarsh,688589.1444693669,0.0,True,687911,1m
14685250,SwampMarsh,351150.9765158338,0.1643432959526551,False,350872,1m
21529424,SwampMarsh,516754.9634578833,0.1261036316707778,False,510810,1m
14679016,SwampMarsh,600632.565723853,0.0,True,595855,1m
21542860,SwampMarsh,692493.4389128938,6.836200780328449e-06,False,691768,1m
14679084,SwampMarsh,335366.1339424954,1.622503890723254e-06,False,332843,1m
14293513,SwampMarsh,230710.23196145706,0.0,True,230478,1m
14677906,SwampMarsh,160609.873731839,0.43684180848842574,False,160442,1m
14425900,SwampMarsh,193192.55084284884,0.026750389877179596,False,193270,1m
14746986,SwampMarsh,606771.2665410646,0.0006290500551387228,False,606425,1m
14677950,SwampMarsh,213442.34915487288,0.0,True,213233,1m
