range,std,n_unique,flat,COMID,FTYPE,n_cells,resolution
1.595001220703125,0.23452326305110474,1476,False,14438704,SwampMarsh,465195,1m
3.673004150390625,0.34658680134921954,3422,False,14439062,SwampMarsh,619644,1m
5.093994140625,0.6446915494932877,4602,False,14292775,SwampMarsh,351350,1m
11.3280029296875,2.2130132110102716,9660,False,14425914,SwampMarsh,89471,1m
0.295989990234375,0.002794253578454208,40,False,14293149,SwampMarsh,203574,1m
0.0,0.0,1,True,14439646,SwampMarsh,323502,1m
2.84600830078125,0.29014324003135283,2696,False,14747028,SwampMarsh,576312,1m
12.72900390625,1.5935164035629454,10363,False,14678072,SwampMarsh,241062,1m
1.925994873046875,0.023161767895699896,876,False,14292851,SwampMarsh,2018690,1m
2.779052734375,0.1185335865223137,1035,False,14677900,SwampMarsh,155266,1m
1.406005859375,0.05227431220682144,808,False,14678978,SwampMarsh,319377,1m
0.0,0.0,1,True,14292933,SwampMarsh,718649,1m
3.98699951171875,0.37477392731783016,3299,False,21542748,SwampMarsh,385943,1m
0.613006591796875,0.06090511789464589,565,False,14432179,SwampMarsh,691894,1m
2.855010986328125,0.5338864737384115,2770,False,14826663,SwampMarsh,252561,1m
0.0,0.0,1,True,14679124,SwampMarsh,677959,1m
1.214996337890625,0.13699634158386126,1063,False,14438718,SwampMarsh,112968,1m
3.4510498046875,0.1894608316741322,2158,False,14677918,SwampMarsh,265474,1m
5.433013916015625,0.5932623573342136,4501,False,21542730,SwampMarsh,486090,1m
4.121002197265625,0.21282086900255,1930,False,14747020,SwampMarsh,700654,1m
0.0,0.0,1,True,14293147,SwampMarsh,1205901,1m
0.0,0.0,1,True,14680598,SwampMarsh,370366,1m
0.0,0.0,1,True,14293511,SwampMarsh,687911,1m
12.41802978515625,2.052715858027947,11476,False,14685250,SwampMarsh,350872,1m
1.58001708984375,0.10741846277973338,1427,False,21529424,SwampMarsh,510810,1m
0.0,0.0,1,True,14679016,SwampMarsh,595855,1m
5.83099365234375,0.3616286063090732,4414,False,21542860,SwampMarsh,691768,1m
6.7960205078125,0.46126051622602454,4051,False,14679084,SwampMarsh,332843,1m
0.0,0.0,1,True,14293513,SwampMarsh,230478,1m
2.9320068359375,0.6609477894772192,2864,False,14677906,SwampMarsh,160442,1m
0.8109893798828125,0.11100317976305075,740,False,14425900,SwampMarsh,193270,1m
3.246002197265625,0.21030713479846463,2900,False,14746986,SwampMarsh,606425,1m
0.0,0.0,1,True,14677950,SwampMarsh,213233,1m
2.9739990234375,0.3740972135406878,2675,False,21542742,SwampMarsh,327464,1m
0.0,0.0,1,True,14828491,SwampMarsh,1458582,1m
1.587005615234375,0.20427373135071633,1275,False,14438660,SwampMarsh,127624,1m
6.43499755859375,0.7068668687485054,5929,False,14679178,SwampMarsh,554235,1m
5.6099853515625,0.3421391315301705,5154,False,14679082,SwampMarsh,1379794,1m
0.0,0.0,1,True,14679338,SwampMarsh,146071,1m
0.0,0.0,1,True,14677970,SwampMarsh,469380,1m
5.15899658203125,0.47498178655586176,3969,False,14293637,SwampMarsh,552639,1m
0.0,0.0,1,True,14439652,SwampMarsh,916470,1m
0.592987060546875,0.09697840367608018,528,False,14439634,SwampMarsh,294259,1m
3.126953125,0.41747517430607334,2463,False,14293685,SwampMarsh,239459,1m
4.00201416015625,0.4187696490399607,2987,False,14825849,SwampMarsh,188346,1m
6.18499755859375,0.7987632522269391,5871,False,14828351,SwampMarsh,510084,1m
3.11798095703125,0.07402077818690894,1641,False,14439596,SwampMarsh,683399,1m
1.878997802734375,0.2522112689608534,1482,False,14826153,SwampMarsh,35300,1m
1.628997802734375,0.1303852950851458,1395,False,21542750,SwampMarsh,1299123,1m
1.597991943359375,0.3100660396011942,1548,False,14425916,SwampMarsh,106132,1m
0.0,0.0,1,True,14680494,SwampMarsh,471043,1m
3.256011962890625,0.2557003394223856,2279,False,14825021,SwampMarsh,249491,1m
2.6090087890625,0.10662268495292104,1610,False,14825033,SwampMarsh,703780,1m
