# Freeboard (filled - raw) over Task 4 detected-flat dprst polygons (issue #173 Task 5). Project=ND_3DEPProcessing_D22. n_flat_input=105, n_usable=105. mean_freeboard = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (rim_buffer_m terrain and nodata excluded via _interior_mask).
COMID,FTYPE,area_m2,mean_freeboard_m,mean_freeboard_in,frac_interior_wet,n_interior_cells,resolution
14439646,SwampMarsh,323707.3636463436,0.4470214828656391,17.5992804825685,1.0,323502,1m
14292933,SwampMarsh,727726.9628945342,0.0,0.0,0.0,718649,1m
14679124,SwampMarsh,678612.1349838943,0.0,0.0,0.0,677959,1m
14293147,SwampMarsh,1220586.1623584102,0.0,0.0,0.0,1205901,1m
14680598,SwampMarsh,372873.7512025896,0.0,0.0,0.0,370366,1m
14293511,SwampMarsh,688592.6421228603,0.0,0.0,0.0,687911,1m
14679016,SwampMarsh,600620.6488479757,0.0,0.0,0.0,595855,1m
14293513,SwampMarsh,230706.37767268237,0.0,0.0,0.0,230478,1m
14677950,SwampMarsh,213457.85807035156,0.0,0.0,0.0,213233,1m
14828491,SwampMarsh,1459258.5668696759,0.0,0.0,0.0,1458582,1m
14679338,SwampMarsh,146217.7380988826,0.0,0.0,0.0,146071,1m
14677970,SwampMarsh,469876.08717353427,0.16998290963611576,6.692244150664841,1.0,469380,1m
14439652,SwampMarsh,924417.7296730725,0.0,0.0,0.0,916470,1m
14680494,SwampMarsh,471463.61853846774,0.4889526407355591,19.250114361023037,1.0,471043,1m
14293565,SwampMarsh,500235.9420544466,0.0,0.0,0.0,499712,1m
14293571,SwampMarsh,353601.3679234949,0.0,0.0,0.0,349502,1m
14678970,SwampMarsh,218438.81009355673,0.1650390580572224,6.497604219618652,1.0,219809,1m
14745758,SwampMarsh,197539.71185317487,0.0,0.0,0.0,197379,1m
14747002,SwampMarsh,259240.45980293286,0.0,0.0,0.0,259095,1m
14294003,SwampMarsh,20104544.130046524,0.0,0.0,0.0,20084538,1m
14439644,SwampMarsh,1487679.6009472867,0.0,0.0,0.0,1498603,1m
