# Hollister/lakeMorpho terrain-slope max-depth prototype over an ND LakePond sample (issue #173 Task 6). Project=ND_3DEPProcessing_D22. n_sampled=300, n_usable=300. max_depth_m = lake_max_depth() (mean shoreline-ring slope x max in-polygon distance-to-shore, over the polygon interior via _interior_mask). mean_depth_m = max_to_mean(max_depth_m, shape='cone') = max_depth_m / 3 -- documented assumption (V/A of a cone), NOT field-calibrated in this spike; no bathymetry survey was available to fit the factor empirically. Cross-check: NHM's calibrated dprst_depth_avg median is ~49 in (docs/superpowers/... nhm_dprst_params_are_calibrated) -- compare against mean_depth_in below, but this spike does not block on matching it.
COMID,FTYPE,area_km2,max_depth_m,mean_depth_m,mean_depth_in,n_interior_cells,resolution
11457938,LakePond,0.4365153200896083,0.7045175175083187,0.2348391725027729,9.245641705351419,437709,1m
14684968,LakePond,0.1273469471361114,0.0,0.0,0.0,127249,1m
21535078,LakePond,0.042229644518889914,3.710883152935483,1.2369610509784943,48.699280273128416,42178,1m
14276592,LakePond,0.3652757899608583,0.0,0.0,0.0,368412,1m
11467840,LakePond,0.02117689526436548,0.5652826902750318,0.18842756342501057,7.418412014799009,21166,1m
14174627,LakePond,0.849506055373,33.28528818583031,11.095096061943437,436.8150414683193,848488,1m
14291363,LakePond,0.024830183849097767,1.8600224751432735,0.6200074917144245,24.409756949546065,24807,1m
11461410,LakePond,0.09471743155580999,3.026508791760577,1.0088362639201922,39.71798459416436,94659,1m
6675138,LakePond,0.021795591137815543,1.8941862656078012,0.631395421869267,24.85810089853523,21788,1m
11455336,LakePond,0.07354894151569304,5.124538135384817,1.7081793784616057,67.25119294797126,73834,1m
12567848,LakePond,0.06500008751703178,1.4911725208627384,0.4970575069542461,19.569203754539366,64350,1m
14293085,LakePond,0.03425001455676424,3.1500147265816465,1.0500049088605488,41.33879826233069,34212,1m
11440251,LakePond,0.02253303537552682,3.2050666465446707,1.0683555488482235,42.06126479370944,22518,1m
14413331,LakePond,0.13479793828954081,6.11539825353285,2.03846608451095,80.25461359380455,134681,1m
14155468,LakePond,0.024426476447600355,6.065274841811109,2.021758280603703,79.59682568319586,24389,1m
14155170,LakePond,1.0910377013665398,6.193392632217401,2.0644642107391338,81.27816242322078,1089196,1m
